review_title,ratings,review_comment,size,asin
Not worthy to buy,1.0,Quality is not good as per price. Material is not desnse. Also size is not as eexpected. Order +1 size.,no size,B08P5SDJGG
"Good fitting n looks. Quality little less, Value for the money",4.0,Overall ok,L,B0C85F7FMW
Ok,3.0,Not bad,L,B0C85F7FMW
Ok product,3.0,It is very transparent 😔,M,B0C85F7FMW
Good,5.0,Good product,XL,B0C85F7FMW
Very comfortable,5.0,Very nice fabric. Must recommended,L,B0C85F7FMW
Looks so soft and comfortable,4.0,I bought it for my bhabhi and she loves it as it is very soft and serves its purpose. However I gave one star less as the material is very thin so not sure how long will it last.,XX-L,B0C85F7FMW
Maternal till bit think otherwise very beautiful ❤️,4.0,Maternal quality thick otherwise beautiful dress,L,B0C85F7FMW
Good fit,4.0,Nice dress. But colour faided a little,XL,B0C85F7FMW
Nice feeding gowns,4.0,Perfect for feeding mothers writing this review after few washes no color fades and peeling of thread..only thing it has less transparency,XL,B0C85F7FMW
Didn't fit as expected,3.0,Had to return,XL,B0C85F7FMW
Worth it.,5.0,The fabric is very good.Size fits so perfectly.Go for it without any hesitation.,XX-L,B0C85F7FMW
Good qulity and fiting and amazing dress,5.0,Best qulity night,L,B0C85F7FMW
good,4.0,its good.,XL,B0C85F7FMW
Transparent,3.0,Dress is transparent,XL,B0C85F7FMW
Not so good,2.0,The material of the dress is ok. But the quality is not par with the price. Stitches of the dress have started coming out in one use itself. Zip is not good at all. Over all the product is below average as compared to price,XL,B0C85F7FMW
Soft and Comfort,5.0,Very good cotton material to wear,XX-L,B0C85F7FMW
Zip is not good,3.0,Zip is not good.,XL,B0C85F7FMW
Worth product,5.0,"If you're breastfeeding mother, must buy",XL,B0C85F7FMW
Good quality,5.0,Kutha quality very good same in pictures,L,B0C85F7FMW
Nice dress,5.0,Knot not given.. otherwise all ok..look good,M,B0C85F7FMW
Good one..,5.0,Awesome for summer.. Good finishing tooComfortable and hope doesn't loose its colour after wash,XL,B0C85F7FMW
More than worth the money,5.0,Fabric is too good.... Perfect for maternity purpose,L,B0C85F7FMW
Transparent,2.0,Too transparent. Not worth for the cost.,L,B0C85F7FMW
Perfect,5.0,Excellent product,XL,B0C85F7FMW
very poor quality and the product had no price tag and that made return more complicated.....,1.0,very poor quality and the product had no price tag and that made return more complicated.....never go for this...,M,B0C85F7FMW
Low.quality received fata huva dresa,1.0,received torn KurtiI washed this Kurti its color faded in single washAnd material of dress was so poorChains got stuck in linear,XX-L,B0C85F7FMW
without price tag and worst quality,1.0,We received a dress without price tag and worst quality. So kept for return. But no one took the return and no refund intiated,XL,B0C85F7FMW
Damaged product,1.0,The product was damaged which was not noticeable in the initial check.,XL,B0C85F7FMW
Worst quality,1.0,Worst quality,M,B0C85F7FMW
poor quality,1.0,not worthy,L,B0C85F7FMW
Good,5.0,As expected  color is good but material is little thin but can wear it . Can buy it's good n comfort,L,B0C85F7FMW
Nice,5.0,Nice,M,B0C85F7FMW
Exactly what in the picture,5.0,"Good quality, both side zip and full opening button in the center sufficient length for topButton had ruin after several wash",XL,B0C85F7FMW
Looks,4.0,Good quality and beautiful product,2XL,B09BZL5Q56
Very nice,5.0,Very nice and comfortable,XL,B09BZL5Q56
Not worthy,2.0,Not worthy as fas as quality is concerned. Pure cotton but transparent and is too expensive.,M,B09BZL5Q56
Transparent,3.0,Product is good but it's over priced. It doesn't even have a lining from inside. For this price the product isn't up to the mark. Would be a great buy of it was priced around 300 to 400,M,B09BZL5Q56
Good,4.0,Comfortable and pretty. Very helpful for nursing mothers. Material is ok.,L,B09BZL5Q56
Nice dress as expected,5.0,Good stylish cotton maternity dress. There is high slit upto the knee which might not be comfortable while sitting.,M,B09BZL5Q56
The dress is very nice,5.0,The material is very good and comfortable...it's very helpful for lactating mother because the zip is quite long which make feeding very convenient.,XL,B09BZL5Q56
Material Nt good,2.0,Material quality is very bad compare to price aftr 2 use only material teared,XL,B09BZL5Q56
The stuff quality is so good,5.0,Stuff quality is very nice fitting is also very nice,XL,B09BZL5Q56
Don’t buy from this seller.,1.0,It was an old product and started tearing apart at many places after 15 days of use. The seller cheated us.,M,B09BZL5Q56
Good quality,5.0,Very good fit and quality,2XL,B09BZL5Q56
Bad,1.0,Amazing material but the colour completely faded away in just one wash,2XL,B09BZL5Q56
Too much Transparent,1.0,Not worth.,L,B09BZL5Q56
Same product as shown,4.0,Quality and colour nice as per the price..it's surely cotton,XL,B08ZS4G4BW
Color not match as per order. Dull color send.,3.0,Product quality good.But Color not matching and dull color send it.,XL,B08ZS4G4BW
Good product same as shown in the picture,5.0,Cloth is a bit of jute cotton. I like the color and print on it. Same as shown in the picture.,2XL,B08ZS4G4BW
Material is okay,3.0,Material is okay. For daily purposes can be use,L,B08ZS4G4BW
Excellent product,5.0,Liked very much .. value for money,XL,B08ZS4G4BW
Ok,3.0,Ok,XL,B08ZS4G4BW
Nice,5.0,"The fabric and the dress was good but it did not fit due to oversize, so I had returned it and appreciate it that immediately received the refund",L,B08ZS4G4BW
Not very good,3.0,Dress is good but zip lenght is too small. Not at all comfortable for feeding.,XL,B08ZS4G4BW
Zip quality to improve,4.0,Best quality,XL,B08ZS4G4BW
size is small,1.0,not xxl at all. really upset. couldnt return too as i hoped it would fit and wore the dress after the days for return was over,2XL,B08ZS4G4BW
Not as shown in picture,3.0,"I had ordered green (with orange flowers) coloured dress, and the product I received is not even close. The colour is totally different (mehendi green) and the entire print is also not the same. Though the cloth is good, but I ordered this products after seeing the picture and was expecting the same product.",2XL,B08ZS4G4BW
Too Transparent and Bad Quality Chain,1.0,The zippper stopped working after 2-3 months. Color is fine. But after few wash now it's become way too Transparent.,XL,B08ZS4G4BW
Good...must buy....,4.0,"The media could not be loaded.
                



 Good quality and nice fit also but little damaged .other wise it's awesome..",M,B08ZS4G4BW
Thick fabric,3.0,As shown in pic. Dress is pretty and good for nursing mothers. But the cloth is very thik not for summers,M,B08ZS4G4BW
Not reached expectations in reality but not bad.,3.0,Showing images are not real. Product not reached our expectations. Not pure cotton. Colour also looking like dul compare with shown images.,M,B08ZS4G4BW
Good 👍 quality,5.0,Good Material,M,B08ZS4G4BW
Verygood,5.0,"Very good for this price range, my wife like it.Thanks",XL,B08ZS4G4BW
Good maternity dress,4.0,"Cloth material is good, good stitching, nice to wear, nice design also",2XL,B08ZS4G4BW
Not as expected,3.0,Images and product are entirely different colours too dull,2XL,B08ZS4G4BW
Product is good,4.0,,M,B08ZS4G4BW
Ok,3.0,Different  colour  than showed.  Dull in colour,2XL,B08ZS4G4BW
Not comfortable.....,3.0,Not smooth,2XL,B08ZS4G4BW
Very comfortable and nice quality fabric,5.0,This is a very nice dress with good quality soft fabric. After washing color doesn’t fade and size is as expected. The belt helps adjusting the size both pre and post pregnancy.,XL,B08ZS4G4BW
Awesome dress,4.0,Nice dress as expected.,2XL,B08ZS4G4BW
4 stars,4.0,It was good.,XL,B08ZS4G4BW
Light in colour,3.0,Not as same colour as shown in picture.its light in colour,M,B08ZS4G4BW
Nice product,4.0,Very nice kurta,2XL,B08ZS4G4BW
Perfect.,4.0,Nice.,2XL,B08ZS4G4BW
Good,5.0,Super 👌,2XL,B08ZS4G4BW
Quality is gud but colour not as per actual .which is shown in pic.,3.0,Try to reduce more editing.,2XL,B08ZS4G4BW
Good product,3.0,Good,2XL,B08ZS4G4BW
Best product for the given price.,5.0,Product is very good for the price. I would suggest to buy a size extra as sleeves are a bit smaller.,XL,B08ZS4G4BW
Dress does not look anything like the photo!,2.0,This does NOT look anything like the photo.. Customers rely on accurate photos when buying online. This supplier is not trustworthy.,XL,B08ZS4G4BW
Good pregnancy wear,5.0,"I bought this dress for pregnancy wear.Good dress, very comfortable and color is nice.",L,B08ZS4G4BW
Value for Money,5.0,Good Quality...,2XL,B08ZS4G4BW
Not cotton material,1.0,Dislike,L,B08ZS4G4BW
Poor quality,2.0,Quality is very poor . In pregnancy it's very difficult to wear because it's fabric is very thick your skin can't breathe if you wear this item.,2XL,B08ZS4G4BW
Awesome Dress colour and rich Material,5.0,"Super rich clothe ,best product in this price range",L,B08ZS4G4BW
Uncomfortable,1.0,Poorly designed product. The stitches and contours are very uncomfortable.,XL,B08ZS4G4BW
Good,5.0,Good product,M,B08ZS4G4BW
Quality is good 👍,5.0,Quality is very good 👍,M,B08ZS4G4BW
Don't buy this product. completely,1.0,after one wash the colour got faded .. waste of money,L,B08ZS4G4BW
Good,5.0,Good,XL,B08ZS4G4BW
Satisfied,5.0,Product quality is good as I expect.,XL,B08ZS4G4BW
Poor quality of product,1.0,Fabric is not goodPoor quality,M,B08ZS4G4BW
Very nice perfect,5.0,Fabric is gud n nice dress,L,B08ZS4G4BW
"It's superb dress, quality is best and must have in 8 th month pregnancy... Super comfortable",5.0,Super dress,XL,B08ZS4G4BW
Material is not cotton,1.0,Poor quality material. Not suitable for summer. The description says the material is cotton but it is NOT. It's some cheap synthetic kind of stuff. Not at all recommended. 👎👎,M,B08ZS4G4BW
Best,5.0,Best,M,B08ZS4G4BW
Not Comfortable for maternity,1.0,It's not good for maternity.The cloth is very heavy and not good for summer.,L,B08ZS4G4BW
Poor quality stitching,1.0,Very poor quality stitching.. the buttons came off after the very first wash. The material is also of inferior quality. I don't recommend,XL,B08ZS4G4BW
Refund money,1.0,Dislike,2XL,B08ZS4G4BW
I want return immediately,1.0,I won't this color n size,2XL,B08ZS4G4BW
Worst,1.0,Not at all worth...cloth is very rough and uncomfortable,M,B08ZS4G4BW
Color is different and pattern also they mention cotton but it's rayon,1.0,Color pattern and quality different it's rayon,L,B08ZS4G4BW
Its not cotton material,1.0,Not cotton material...,L,B08ZS4G4BW
Quality not good,1.0,"Not satisfied, worst product",M,B08ZS4G4BW
This material is not cotton.,3.0,Fabric is not good. They should mention the exact material or fabric used. They mentioned cotton that's why I have purchased it.,XL,B08ZS4G4BW
Color faded with one watch. Poor quality,1.0,Not worth of the money. Designs and Color faded with one wash. Don’t buy this sub standard product. Waste of purchasing,2XL,B08ZS4G4BW
One side zip is not opening,1.0,Too bad..the size is not correct nd one side zip is not working. Not comfortable to wear.not worth for money,XL,B08ZS4G4BW
Cloth not fine,1.0,We wash this dress  Cloth not fine please return and send or payment in our account ass well as soon posible,2XL,B08ZS4G4BW
perfect fitting,5.0,"The media could not be loaded.
                



 Very nice quality and nice colour too. Perfect fitting must buy product for pregnant women",XL,B08ZS4G4BW
Highly recommended,5.0,Very Comfortable...during maternity time it helps a lot. vertical zips are fine .. within this price range it's value for money... I highly recommend this product.,XL,B08ZS4G4BW
Good product,3.0,Good product,M,B08ZS4G4BW
Perfact dress,5.0,Perfact fit .. Nice fabric.. Superb colour.. As expected....,L,B08ZS4G4BW
Average,3.0,Not bad,2XL,B08ZS4G4BW
Quality is as we needed,4.0,Satisfied,2XL,B08ZS4G4BW
Nice product,4.0,Nice product,L,B08ZS4G4BW
Nice,5.0,Nice super,XL,B08ZS4G4BW
Poor quality chief metrial,1.0,Poor quality chief metrial don't purchase it . Lost of money . not like what i ordered . So sad,XL,B08ZS4G4BW
Useful,4.0,Good option for newly promoted mothers and pregnant mother's also,L,B0BL1R1XQ1
Quality,3.0,Not as expected. Cloth quality is not good,2XL,B0BL1R1XQ1
The drees material,2.0,Dress ka kapda  soft nahi hai accory to the price,L,B0BL1R1XQ1
I love the product,5.0,Aap pregnancy ke time me bhi pahn sakte ho aur delivery ke baad bhi I really like the product.,no size,B0BL1R1XQ1
Material,5.0,"Good quality products , exact products received as shown in pic",XL,B0BL1R1XQ1
Colour fade after one wash,2.0,Colour fade after one wash or even after wet water drop,2XL,B0BL1R1XQ1
Nice,5.0,Material is good and long as expected,L,B0BL1R1XQ1
Very transparent and very thin,1.0,"The Cotton material is not worth the moneyIt's really transparent and if u wash it, it will definitely becomes much more thinner and transparent.I have already Returned the dress.",XL,B0BL1R1XQ1
Kurti is really nice.,5.0,The material and fabric used in this kurti is very good. Such a nice kurti in this amount.Really like & love it 😍😍❤️,no size,B0BL1R1XQ1
Bad quality,1.0,Very bad after one wash its got short and color down,XL,B0BL1R1XQ1
Good product,5.0,good Productand good quality of materialValue for money product,no size,B0BL1R1XQ1
Poor quality,1.0,After one wash all the print is faded.Poor quality.I will suggest not to purchase this productGood for single use purpose,XL,B0BL1R1XQ1
Good Quality.,5.0,Received as given in ad photo.,no size,B0BL1R1XQ1
Please don't buy this product.,1.0,"Please don't buy this product, The colour will be fade after 1 wash, it will become colourless dress, please don't buy.",no size,B0BL1R1XQ1
Uper ki design 2 wash me chali gayi,1.0,Colour bhi ja raha h kapde ka,no size,B0BL1R1XQ1
Not as expected,2.0,Material is  rayon  and is not suitable for daily use.. very hot during summer,no size,B0BL1R1XQ1
Print is not good,4.0,The dress is long but after one wash the print came off and now it's completely looks bad,L,B0B55T4PZ4
Is this colour vll fair or nt,4.0,It's good n comfy,3XL,B0B55T4PZ4
Poor quality material,2.0,Material was poor and also stitching..tore out after 5-6 uses,3XL,B0B55T4PZ4
Value for money.,4.0,Best quality product.,L,B0B55T4PZ4
Print disappeared,2.0,Liked the top and quality of cloth but the print disappeared in one wash and it looks almost like plain black top now,3XL,B0B55T4PZ4
Fabric is good but print fades after one wash,3.0,Print fades after one wash,3XL,B0B55T4PZ4
Fabric quality is good but its print getting fade after wash,3.0,3 star is given just for fabric the dress looks so good but after one wash its print start getting fade.,XL,B0B55T4PZ4
I like the color and there fit also,5.0,I love the product,L,B0B55T4PZ4
Good product,4.0,But colour goes during wash... Make sure to hand wash it seperately...,L,B0B55T4PZ4
Disclour issue,2.0,Product being disclour with first wash. Its very disappointing.,XL,B0B55T4PZ4
Not a good dress. The paint goes away in 3 washes.,2.0,Quality is very good and its looks so beautiful.,Medium,B0B55T4PZ4
Third class quality,1.0,Third class quality please do not purchase in one wash only colour & design gone. Post that it look like your are using this product from 2-3 years. Please don't purchase,2XL,B0B55T4PZ4
Very good,5.0,Product is very good. Cloth is smooth and fit is very good. Its a great product for pregnant woman and also for feeding. Liked it a lot.,L,B0B55T4PZ4
Color & design Gone just after single wash,1.0,"Please do not buy this, recieved 10 days ago (i.e on 15th Oct 2022) . This happened only in a single light handed wash,",2XL,B0B55T4PZ4
money rs.700 waste for this dress 👗.Colour leaked when touched the water,1.0,Very bad quality,2XL,B0B55T4PZ4
Best product,5.0,Everything is good.,Medium,B0B55T4PZ4
Worst,1.0,Never ever buy this product.100% experienced......,Medium,B0B55T4PZ4
Print fades after first wash,1.0,"Print fades after first wash, now it is not usefull to wear",Medium,B0B55T4PZ4
Poor quality clothing.,1.0,Pathetic product..after one wash only the paint got removed from the cloth..will not recommend the product to at all.,L,B0B55T4PZ4
One wash and the design and Color of this dress is transferred onto others in the washing machine.,1.0,One wash and the design and Color of this dress is transferred onto others in the washing machine.,L,B0B55T4PZ4
Don’t recommend,1.0,Print is getting fade after every wash,3XL,B0B55T4PZ4
Super product as expected 👌,5.0,Superbbb,XL,B0B55T4PZ4
Worst product ever,1.0,All the print and colour faded just after one wash,3XL,B0B55T4PZ4
Print Not Good,1.0,"Print gone after 1st wash , it became simple plain blue. Print quality zero",2XL,B0B55T4PZ4
Printed design fade away in 2 wash.. not good..,1.0,Printed design fade away in 2 wash.. not good..,XL,B0B55T4PZ4
It's colour gets fade on single washing. Avoid purchasing,1.0,It's colour gets fade in single washing. Avoid it's purchasing. Low quality product.,L,B0B55T4PZ4
Printed problem,1.0,Very poor quality don't buying this product,2XL,B0B55T4PZ4
Colour and print faded away after wash.poor quality,1.0,Very poor quality.print and colour faded away from first wash itself. I won't refer to buy this product poor product,Medium,B0B55T4PZ4
Most worst product,1.0,They are not returning the product. Product is really not upto the mark. Size does not fits and they are returning it,3XL,B0B55T4PZ4
Super,5.0,Nice material,2XL,B09B9VMMQL
Prickly zipper,3.0,The material fit and colour of the dress are good. The only issue i found is the zip pricks the skin which causes discomfort,M,B09B9VMMQL
Good buy,4.0,Material is little thin but it's doable without a need to wear inside skirt. Near the zip area it's pokes so make sure u wear a padded nursing bra,M,B09B9VMMQL
Good to wear size fits exactly material is too good,4.0,Good to wear size fits exactly material is too good,L,B09B9VMMQL
Nice.,4.0,Nice...kapda patla hai....the cloth is thin......both side zip is available.....knee length......good for daily wear.,M,B09B9VMMQL
Light soft cotton,4.0,"Pros: Perfect fit, good stitching & zips. Good for the price.Cons: material is thin than i expected. Could be better, if lining is attached.",M,B09B9VMMQL
Good product,4.0,Fabric is good. Liked it.,M,B09B9VMMQL
Not as expected,3.0,Fits correctly. Not satisfied with the cloth material.. can be worn for home use.,2XL,B09B9VMMQL
Quality of clothe is bad,2.0,The dress is transparent and polyester material. It's not worth the money. It looks cheap,L,B09B9VMMQL
Quality,2.0,Have ordered M size but they have send XL . It's not useful for me if I have alter the dress.  Be conscious when packing the cloth actually what customer has ordered. Otherwise color and cloth quality good.,M,B09B9VMMQL
Very happy,5.0,Very comfortable and material is good for skin.,M,B09B9VMMQL
Just 500rp top,2.0,It just 500rp not for 800rp,M,B09B9VMMQL
Good quality product,5.0,Liked the material and quality of the fabric.,M,B09B9VMMQL
Zipper quality,2.0,One zip is very tight from another,M,B09B9VMMQL
"Only for during pregnancy and very delicate cloth, price too high for this kind of cloth",1.0,"Too thin, moderate quality its good for pregnancy time but after delivery at the part of stomach its like too loosen as having many frills. Ok for pregnancy but not for feeding times.",M,B09B9VMMQL
Cloth material is not good very disappointed ☹️,1.0,Cloth material is not good very disappointed ☹️,M,B09B9VMMQL
worst quality,1.0,worst quality,M,B09B9VMMQL
High cost,1.0,Low quality material,XL,B09B9VMMQL
Comfortable outfit,5.0,"Pure cotton, best for feeding. Easily washable in machine, no issues with colour.",M,B09B9VMMQL
both beautiful and comfortable maternity wear,5.0,"Excellent product. Fabric is soft. It is loose, airy and still stylish. Comfortable for nursing and for hospital stay during labor. Go for it!",no size,B0BG8WWBTZ
Good product however stitch of the product can be better,4.0,Goood product,no size,B0BG8WWBTZ
Beautiful,5.0,It fits perfectly and looks very beautiful,no size,B0BG8WWBTZ
Nice product,4.0,Nice product... value for moneySoft material and it looks good after wearing,L,B08KGGVBX8
Worth buying!!!,5.0,Its an amazing & very comfortable maxi dress to wear during pregnancy or maternity. I just loved the fabric and its look. 💙,2XL,B08KGGVBX8
Good quality,5.0,,L,B08KGGVBX8
Amazing product,5.0,Amazing product,M,B08KGGVBX8
Nice material and fit,4.0,Nice material and fitting. Good VFM.,M,B08KGGVBX8
Good,5.0,Good product but quality less,M,B08KGGVBX8
Good,5.0,Good,M,B08KGGVBX8
Good,4.0,Good,2XL,B08KGGVBX8
Comfort,5.0,Really like the quality of the dress....very comfortable to wear especially for traveling...,2XL,B08KGGVBX8
Breathable fabric quality.,5.0,Nice fabric quality. Comfortable for me as a 8th month pregnant woman.,M,B08KGGVBX8
Quite good material and fitting.,5.0,Nice dress.,M,B08KGGVBX8
Material seems to be good but price!,3.0,"Material is good as expected and the quality and finish is OK for the price, not the best! At first wash color washes OFF!",L,B08KGGVBX8
Beautiful gown,5.0,Comfortable and soft cloth with a perfect fit. It is great for would be moms and can be worn after delivery also.,XL,B08KGGVBX8
Very Soft and Cotton fabric material... really nice dress,5.0,"During pre and post pregnancy, you can wear this. Good thing is that it's simple but looking stylish also.. Fabricwise Soft and Smooth. Go for it 👍🏼👍🏼",XL,B08KGGVBX8
It's a desi gown.. not a dress😏,4.0,Otherwise footing and cloth is good in ur pregnancy days,M,B08KGGVBX8
Ok product,3.0,Fit was proper except for product quality.Amezon claimed it to be a rayon cloth but actually it was purely cotton material which I didn't prefer,L,B08KGGVBX8
not  satisfied,1.0,cloth quality  is not good it looks very thin...,3XL,B08KGGVBX8
Worth buying,5.0,Very comfortable and good quality,2XL,B08KGGVBX8
From maxi dress to midi after a single wash,2.0,The dress would shrink horribly after 1st wash. From a maxi it would straight away become a midi dress. The upper area of the dress would also become very uncomfortable.,XL,B08KGGVBX8
Good fabric,4.0,Comfortable for to be mums,no size,B08KGGVBX8
Loved the color n print,5.0,Loved the color n print. It is very comfortable and is on the larger fit side . But I am not complaining as that is what I needed in a maternity wear.,XL,B08KGGVBX8
Perfect for summer,5.0,Just loving this material. Very good cotton happy it comes with nursing option. Material looks good than in the picture shown. Perfect for summer,M,B08KGGVBX8
Great Buy,5.0,Worth every penny!,no size,B08KGGVBX8
Zip stitching not good,3.0,Chain stitching not good.,no size,B08KGGVBX8
It's not good nd loose their color after wash,3.0,Color fadeout,XL,B08KGGVBX8
Very good quality dress. Fits perfectly as per size. Heavy  rayon cotton. Totally satisfied.,5.0,,2XL,B08KGGVBX8
Worth to buy,5.0,Amazing product……good fitting and looks good on pregnant woman ❤️,2XL,B08KGGVBX8
Very best feel comfortable,5.0,I have no problem quality is superb,no size,B08KGGVBX8
Great purchase,3.0,Good one.,no size,B08KGGVBX8
Expected little good quality,2.0,For this price.. quality is not good.. I expected a little good quality.. it's transparent..and not comfortable for feeding.,L,B08KGGVBX8
Perfect for mom to be,5.0,It's comfortable to wear and fit as expected.Mom to be can go for it,XL,B08KGGVBX8
Not as bright shown in picture,2.0,It looks old cloth but I got it properly fitted. So may be I will use it at home as I have need now but definitely not worth of 999 rs.,XL,B08KGGVBX8
Very good product,5.0,Comfortable👌,2XL,B08KGGVBX8
Recommend,5.0,Perfect as expected,no size,B08KGGVBX8
Liked it.,5.0,Recommendable. Product quality is good,M,B08KGGVBX8
Poor quality,2.0,Poor quality,XL,B08KGGVBX8
It is short,1.0,It is not as long as shown on picture. And zip is also not big.,2XL,B08KGGVBX8
Not happy,1.0,Even though the description says the fabric is rayon it definitely is not. It is some kind of thick blanket material,XL,B08KGGVBX8
Comfortable,5.0,"long , soft and comfortable dress for pregnant women but a bit transparent yet can be adjusted using innerskirt or shimmy",L,B08KGGVBX8
Poor quality,1.0,Not good quality product material is very bad looks like dusting cloth. Don't recommend at all. Don't purchase. In one wash it's looking like worn out from years,M,B08KGGVBX8
Best for 3rd trimester.,5.0,Quality of clothe is good and soft.,L,B08KGGVBX8
Really nice,5.0,Nice fabric and nice stiching.,XL,B08KGGVBX8
Superb,5.0,Quality is great . Excellent fabric for this price .. perfect for maternity shoot . It's very decent and elegant ..,no size,B08FBL5P86
Not value for money,2.0,Worst one.. not value for money,no size,B08FBL5P86
Good product,5.0,"Very much comfortable, after 5 6 wash it becomes dull",no size,B08FBL5P86
Comfortable outdoor maternity dress.,4.0,The product is true to it's description on site. The material is soft and fitting is perfect. Looks stylish when worn.,no size,B08FBL5P86
Color  differs,3.0,"The material is of good quality, though the product differs in color as per the photo. The product delivered is  not peach though a dark pink",XL,B08FBL5P86
Good,4.0,Best choice for moms. Very comfortable,no size,B08FBL5P86
Good product,5.0,Very comfortable. Very well crafted. Zips are good.,no size,B08FBL5P86
Value for money,4.0,Good colour and quality. Very comfortable. Good fit. But need iron always before wearing.,M,B08FBL5P86
Good,4.0,It is not peach colour but like reddish pink. It's neither cotton nor rayon. It's not bright as in picture. Little dull. But looks very beautiful.,L,B08FBL5P86
Awesome colour,4.0,Very nice and smooth fabric,no size,B08FBL5P86
Nice product,4.0,Fit perfectly,no size,B08FBL5P86
Not bad ok,3.0,Not bad ok,no size,B08FBL5P86
Very much transparency poor inside lining used,2.0,"This one is very elegant looks and very soft very good for mother’s, it’s a very good baptism dress code , I appreciate the seller and Amzon for such good collection, but please make pure white colour also",no size,B08FBL5P86
Good colour and quality,5.0,The product looks just as shown in the pic. It is a bit larger than expected but the sash at the back helps. Overall good.,no size,B08FBL5P86
Must buy for feeding Moms!,5.0,I loved the quality and comfort of the dress. It’s so soft. I just loved it,no size,B08FBL5P86
Good quality product,5.0,"I would recommend this product. The quality, design and fitting is as expected.",2XL,B08FBL5P86
Not worth,3.0,"Not worth for money, and transparent also",no size,B08FBL5P86
"Ordered the peach colour, but received the blue colour",2.0,"I ordered the peach coloured dress, but received the blue coloured one. Other than the colour mix-up, overall an OK but slightly expensive option...",L,B08FBL5P86
Colour bleeds,3.0,Colour bleeds after first wash,no size,B08FBL5P86
Peach XL,5.0,Nice dress exactly as shown in the picture loved it,XL,B08FBL5P86
Great Purchase !!!,5.0,Happy with the product. Soft material and great. It's not transparent as mentioned in some reviews.,2XL,B08FBL5P86
Nice products,5.0,Very good products  value of products,no size,B08FBL5P86
Very gud product 😍really very nice,5.0,I really like,no size,B08FBL5P86
Convenience with style.,5.0,Good design with very good cotton.,no size,B08FBL5P86
Very good quality,5.0,Comfortable n proper fit,2XL,B08FBL5P86
Cloth quality,2.0,Quality of cloth is not good.,2XL,B08FBL5P86
Not worthful.,1.0,The size is too large more than XL. And it is transperant due to low quality cloth. Not worthful for 999/- rupees.,no size,B08FBL5P86
Don't buy white colour. It is too transparent so only 1 star.,1.0,Product is good but lying in my cupboard coz of transperancy.,no size,B08FBL5P86
Nice fabric but I ordered pitch colour and got navey blue,1.0,Ok,M,B08FBL5P86
Too transparent,1.0,Not good quality material,no size,B08FBL5P86
Perfect for pregnancy and feeding purpose,5.0,Bought this dress while being 5 months pregnant and using it even post delivery. Can wear it for going out as well. Can feed my baby anywhere with comfort. Dress is good looking and doesn't leave color at all.Review after using it for few months.,2XL,B08FBL5P86
Good one,5.0,Good one. Worth buying it mom's. Only one problem we don't get it in smaller sizes. Starting size is 40.,no size,B08FBL5P86
Nice one,4.0,Nice embroidery work... Little transparent.,no size,B08FBL5P86
Nice product in good price,4.0,Perfect fit,2XL,B08FBL5P86
Good material and quality,5.0,I had ordered a bigger size keeping in mind that I want to use it for longer duration. Quality is good and material is soft.,M,B08FBL5P86
Very nice and fancy,4.0,"Just recieve, i like it, very comfortable and fancy top",XL,B09LXGN6KV
Material is thin.,3.0,I liked the colour and material. Fitting is also good. Side zip could have been from bottom to top. Thin cloth,XL,B09LXGN6KV
Don't buy it... It leaves color horribly aftr 1 wash,1.0,Don't buy it... It leaves color horribly aftr 1 wash,2XL,B09LXGN6KV
Very nice product.,4.0,The dress material is really very good. It's very comfortable and gives a stylish look. Have received the package before time.,M,B09LXGN6KV
Beautiful dress go for it,5.0,,M,B09LXGN6KV
Good  product,4.0,"Colour is same, size is also same. Length is below knee , Material  is good,and very smooth but litle transparent  I bought pink Colour n green  , pink is transparent n green is good 👍.  Good product go for it.",M,B09DS4RMN3
Good product thanks amazon,4.0,I like it,XL,B09DS4RMN3
Nice purchase,5.0,Super soft febric n looks staylist go for it,L,B09DS4RMN3
Very nice material,5.0,Very good maternity wear.,no size,B09DS4RMN3
Good,3.0,Tho the size is a little bit large than it is expected the material is good and comfortable.,M,B09DS4RMN3
Amazing,5.0,Amazing product for nursing/expecting mom,2XL,B09DS4RMN3
Leaves too much of color while washing,4.0,Dress is indeed beautiful and a very nice fitting and comfortable dress but leaves too much of color during washing and even while wearing over body .,no size,B09DS4RMN3
Quality not good,1.0,Half dress with different fabric when you touch.Disappointed I won't recommend to purchase mom to be dresses as before this I ordered another brand cloth quality and looks were good within same price range.This dress is just over priced and disappointed,no size,B09DS4RMN3
Very nice cloth and color,5.0,,no size,B09DS4RMN3
Quality product,5.0,Really good product!! Nice and soft material and a beautiful color!! Didn't expect such a great product on Amazon to be frank.,no size,B09DS4RMN3
Nice,4.0,Dress is good even cloth material is nice,M,B08KGMF8ZK
Size too big,4.0,Material is good and opaque but the size is the too large,M,B08KGMF8ZK
Beautiful n comfortable,5.0,"Perfect fit and very comfortable , actually much better than shown in pic.",M,B08KGMF8ZK
Looks Good,4.0,"Perfect gift to pregnant ladies. Its color is vibrant, looks good post wearing. I just had one concern about length. Its slightly below knee level, and I have ordered considering ankle length. Rest all is good. Material feels good to hand.",2XL,B08KGMF8ZK
"Only upto mid calf, disappointed",1.0,"The dress does not reach ankle, its more of a midi than maxi. But looks good with leggings, but the image is misleading, it doesn’t look like that, more like kurta!",2XL,B08KGMF8ZK
Theek hai ye product,5.0,Nice 👍,XL,B08KGMF8ZK
